Employee ID,Name,Age,Gender,Department,Position,Manager,Contact Information,Emergency Contact,Leave Type,Reason for Leave,Leave Start Date,Leave End Date,Return to Work Date,Duration,Leave Request Date,Approval Status,Leave Approval Date,Notification Method,Substitute/Backup Employee,Training Required,Previous Leave History,Leave Balance,Annual Leave Quota,Remote Work Option,Health Status,Comments from HR,Document Attachment,Cost Center
45883ef4-9daf-464f-8541-b3b4bdd67bf7,Joyce Barr,35,Other,Operations,Marketing executive,Kathy Proctor,6918817469,988-359-1626x18144,Paternity,Medical treatment,2023-07-06,2023-07-07,2023-07-08,1,2023-06-30,Denied,2023-07-03,Phone call,Lisa Murray,False,0 leaves in the past year,2,13,True,Good,No comments,almost.mp3,Allen Inc
40eea81b-af2d-4af7-b77a-3fbe7ce12046,Mason Evans,65,Female,Operations,Metallurgist,Shane Goodwin,363.301.5664,001-298-446-5280x07147,Maternity,Educational course,2023-07-14,2023-07-16,2023-07-17,2,2023-07-04,Denied,2023-07-11,Phone call,Tabitha Meyer,False,5 leaves in the past year,0,25,True,Good,No issues,None,Harris Ltd
d0dcc3d0-6ed8-4ca2-836f-d8740789b594,John Greene,48,Male,HR,Community development worker,Gregory Whitehead,(487)318-7061,001-895-430-4380x602,Maternity,Medical treatment,2023-05-08,2023-06-06,2023-06-07,29,2023-04-28,Denied,2023-05-08,Email,Jeremy Peterson,True,3 leaves in the past year,16,21,False,Good,No comments,None,Martin-Howard
34dec3df-0d6c-4f3d-9395-7e4e66e8c4d5,Douglas Graham,46,Other,HR,"Scientist, product/process development",Olivia Hart,3307955591,(772)678-0934,Sick,Educational course,2023-05-05,2023-05-26,2023-05-27,21,2023-04-25,Denied,2023-05-04,Email,Christopher Rocha,False,2 leaves in the past year,13,26,False,Good,No issues,consider.xls,Hughes-Phelps
5cbaa29e-6c21-4fd8-8e63-0b725f8c936b,Kenneth Johnson,25,Male,Operations,Police officer,Ronald Dunn,001-423-960-1842x3803,001-840-550-0318x7337,Annual,Vacation travel,2023-11-12,2023-11-16,2023-11-17,4,2023-11-07,Denied,2023-11-07,Phone call,Tiffany Huynh,False,5 leaves in the past year,27,27,True,Good,No comments,None,"Molina, Lowe and Murphy"
162e579f-2790-442a-925c-ca690d5f5354,Bonnie Lawrence,64,Other,Operations,Agricultural engineer,Kaitlin Tucker,783.887.2047,+1-814-502-0431x829,Maternity,Medical treatment,2023-07-04,2023-07-26,2023-07-27,22,2023-07-02,Approved,2023-06-30,Email,Jennifer Rodriguez,False,5 leaves in the past year,23,21,False,Good,No comments,None,Marshall-Hart
94c612e9-4247-478f-a184-889d67fa13e8,Larry Brock,23,Male,HR,Actor,David Jones,+1-293-350-9593x60107,209-462-8822x90844,Maternity,Vacation travel,2024-01-07,2024-01-24,2024-01-25,17,2023-12-31,Approved,2024-01-05,Email,Douglas Jensen,False,4 leaves in the past year,0,20,False,Good,No issues,None,"Salas, Castillo and Hill"
3aac01db-8e39-4f05-83ea-4077c6e7f9e0,Jacob Hart,57,Other,Marketing,Dramatherapist,Brandy Hamilton,(427)745-0060,366.628.8927x575,Annual,Medical treatment,2023-07-27,2023-07-29,2023-07-30,2,2023-07-26,Denied,2023-07-23,Phone call,Andrew Mosley,True,0 leaves in the past year,21,21,True,Good,Please update contact details,crime.mp3,"Wilson, Fisher and Arnold"
757f07d1-0e26-430e-83b9-f2bf5684139f,Jennifer Powell,37,Male,IT,Advertising account planner,Chloe Rojas,+1-212-757-2481x1156,(971)490-6167,Sick,Family obligation,2024-01-18,2024-01-28,2024-01-29,10,2024-01-11,Denied,2024-01-14,Email,Lauren White,False,3 leaves in the past year,2,29,False,Good,No comments,None,Norton and Sons
e59664a8-e7eb-4080-a6e1-60a145d9ebcc,Lisa Taylor,21,Female,Marketing,"Nurse, mental health",Judy Lewis,001-909-591-3928x176,6072968888,Annual,Educational course,2024-02-18,2024-03-03,2024-03-04,14,2024-02-16,Denied,2024-02-13,Email,Sean Allen,True,4 leaves in the past year,8,30,True,Good,No comments,None,Jones-Mcclain
a8362a61-1474-4882-96f6-f8a931031261,Clayton Mason,41,Male,Sales,Software engineer,Sydney Conway,001-521-320-8012,+1-517-651-4913,Sick,Vacation travel,2023-10-17,2023-10-20,2023-10-21,3,2023-10-07,Denied,2023-10-17,Phone call,Anthony Cruz,False,4 leaves in the past year,28,11,False,Good,No issues,None,Martin Ltd
cdb1760c-c2ab-4108-91fe-16dad217d809,Monica Peters,19,Other,HR,"Solicitor, Scotland",David Thompson,+1-611-269-1393x48281,+1-854-689-4151x008,Sick,Vacation travel,2024-04-01,2024-04-08,2024-04-09,7,2024-03-28,Denied,2024-03-28,Phone call,Henry Ramirez,True,5 leaves in the past year,16,10,True,Good,Please update contact details,None,"Gray, Young and Underwood"
